order_line_id,customer_reference,original_mpn_or_specification,selected_mpn,digikey_sku,required_quantity,required_unit,cart_quantity,extended_price_cad,availability,use,notes
ORDER-LINE-001,CS-001,0215001.MXEP,0215001.MXEP,F3476-ND,1,each,1,5.01,Immediate,mains: F3,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-002,CS-002,0451003.MRL,0451003.MRL,F2583CT-ND,1,each,1,3.62,Immediate,mains: F2,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-003,CS-003,1868076,1868076,277-5840-ND,4,each,4,11.2,Immediate,mains: J1 J2 J3 J4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-004,CS-004,1N4007-E3/54,1N4007-E3/54,1N4007-E3/54GICT-ND,1,each,1,0.82,Immediate,mains: D1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-005,CS-005,43045-0200,0430450200,WM1813-ND,5,each,5,7.2,Immediate,controller: J6 J7 J8 J9; mains: J6,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-006,CS-006,43045-0600,0430450600,WM1815-ND,2,each,2,5.98,Immediate,controller: J3 J5,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-007,CS-007,43650-0300,0436500300,WM1861-ND,2,each,2,3.58,Immediate,controller: J1; mains: J5,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-008,CS-008,AO3400A,AO3400A,785-1000-1-ND,4,each,10,5.03,Immediate,controller: Q1 Q2 Q3 Q4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-011,CS-011,B32921C3473K000,B32921C3473K000,495-6903-ND,1,each,1,0.82,Immediate,mains: C1,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-012,CS-012,B3F-1002-G,B3F-1002-G,SW787-ND,3,each,3,14.85,Immediate,controller: SW1 SW2 SW3,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-013,CS-013,C1608X7R1H104K080AA,C1608X7R1H104K080AA,445-1314-1-ND,16,each,20,1.76,Immediate,controller: C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46; mains: C5 C7; sensor: C3,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
ORDER-LINE-014,CS-014,C2012X7R1E105K125AB,C2012X7R1E105K125AB,445-1354-1-ND,4,each,10,1.91,Immediate,controller: C9 C20 C43; sensor: C4,Exact accepted part; distributor formatting may normalize hyphens or leading zeros.
