order_line_id,mpn_or_specification,required_quantity,unit,use,reason,source_url
ORDER-LINE-009,AP63203WU-7,1,each,controller: U2,Exact and automotive Q variants are live-cart backorders.,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf
ORDER-LINE-010,AP63205WU-7,1,each,mains: U2,Exact and automotive Q variants are live-cart backorders.,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf
ORDER-LINE-033,G5RL-1A-TV8 DC5,1,each,mains: K1,"Exact relay not normally stocked, minimum 100. Six-pin E variants do not fit the four-pin footprint; no compatible stocked replacement approved.",https://components.omron.com/us-en/products/relays/G5RL
ORDER-LINE-044,TMOV14RP175EL2T7,1,each,mains: RV1,Exact factory-crimped lead form has minimum-order/stock restriction. Base straight-lead part requires unverified reshaping and was not substituted.,https://www.littelfuse.com/assetdocs/tmov-itmov?assetguid=bd475732-1071-4352-b8aa-f78b0007eb05
ORDER-LINE-045,TPS2553DBVR,1,each,controller: U5,"Original, smaller-reel DBVT and automotive Q1 variants are live-cart backorders.",https://www.ti.com/lit/ds/symlink/tps2553.pdf
ORDER-LINE-049,USBLC6-2SC6,1,each,controller: U9,Original ST part is a live-cart backorder; no compatible stocked replacement approved.,https://www.st.com/resource/en/datasheet/usblc6-2.pdf
ORDER-LINE-054,1112.048.005350,1,each,Enclosure: Mains receptacle or female pigtail,"Exact Americord outlet pigtail not found at DigiKey; retain direct Americord supplier, no unverified mains-cord substitute.",https://www.americord.com/en-ca/products/4ft-roj-2-strip-3-8-to-nema-5-15r-power-cord-18-3-sjtow-na
ORDER-LINE-058,"5493C, slate, cut length",0.2032,m maximum installed,Sensor harness: Three-pair cable at most 8 inches,Buy a short cut length of the exact Alpha5493C multicore cable outside DigiKey to avoid a 100 ft spool. The finished sensor harness must remain at most0.2032m (8 inches); extra purchased length is for preparation/spares.,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-1/5493c
ORDER-LINE-062,6715 black and 6715 white; 18AWG,4,m purchasing allocation,Mains harness: Internal black and white mains wire,Selected Alpha Wire is sold by DigiKey in100ft or larger spools. One-set requirement is1–2m per color; buy exact cut lengths outside DigiKey to avoid hundreds of dollars in unused wire. No substitute chosen without insulation/crimp and sensor capacitance verification.,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6715
ORDER-LINE-063,3075 green/yellow; 18AWG,2,m purchasing allocation,PE harness: Green/yellow PE wire,Selected Alpha Wire is sold by DigiKey in100ft or larger spools. One-set requirement is1–2m per color; buy exact cut lengths outside DigiKey to avoid hundreds of dollars in unused wire. No substitute chosen without insulation/crimp and sensor capacitance verification.,https://www.alphawire.com/en/products/wire/hook-up-wire/premium/3075
ORDER-LINE-064,"6713 red, black and blue; 22AWG",3,m purchasing allocation,Controller/mains harness: Red black and blue LV harness wire,Selected Alpha Wire is sold by DigiKey in100ft or larger spools. One-set requirement is1–2m per color; buy exact cut lengths outside DigiKey to avoid hundreds of dollars in unused wire. No substitute chosen without insulation/crimp and sensor capacitance verification.,https://www.alphawire.com/disteAPI/SpecPDF/DownloadProductSpecPdf?productPartNumber=6713
ORDER-LINE-070,GST18U05-P1J,1,each,Service kit: Isolated service wall adapter,Existing BOM identifies this adapter as potentially already owned. Omitted to avoid buying a duplicate; verify inventory.,https://www.meanwell.com/Upload/PDF/GST18U/GST18U-SPEC.PDF
ORDER-LINE-076,6714 red and black;20AWG,2,m purchasing allocation,Enclosure and assembly stock: Internal12V feed wire,Selected Alpha Wire is sold by DigiKey in100ft or larger spools. One-set requirement is1–2m per color; buy exact cut lengths outside DigiKey to avoid hundreds of dollars in unused wire. No substitute chosen without insulation/crimp and sensor capacitance verification.,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6714
ORDER-LINE-078,Adhesive-lined heatshrink assortment rated>=600V;fit insulated splice OD,1,kit,Enclosure and assembly stock: Service splices and exposed drain insulation,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/electrical.md
ORDER-LINE-079,Unclad flame-retardant FR-4;2mm;UL94V-0 at2mm,1,200 x 200mm minimum sheet,Enclosure and assembly stock: Separator and clamp-tab stock,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-080,Unclad flame-retardant FR-4;3mm;UL94V-0 at3mm,1,250 x 250mm minimum sheet,Enclosure and assembly stock: Carrier/H-rails/PE bracket stock,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-081,M4 nylon threaded rod;>=80mm,4,each,Enclosure and assembly stock: Four continuous frame/base posts,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-082,M4x30 stainless steel or brass bolt/stud,1,each,Enclosure and assembly stock: Dedicated PE junction stud,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-084,Nylon small cable tie compatible with selected bases,4,each,Enclosure and assembly stock: External sensor jacket ties,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-085,5952,1,50 x 50mm minimum patch,Enclosure and assembly stock: Tape for external cable anchors,"No economical stocked 5952 sheet found. Small die-cut pack is discontinued; 1.5 x 5 inch multipack is nonstock and expensive. Keep outside-DigiKey sourcing for a small authentic 19 mm wide 5952 strip, used only under cable anchors. Do not substitute it for thin sensor 467MP.",https://www.3m.com/3M/en_US/p/dc/v100809057/
ORDER-LINE-088,M4-compatible elastomer sealing washer,6,each,Enclosure and assembly stock: Frame/base hole seals; PE bracket base hole seals,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-089,Insulating/rubber foot;10mm high,4,each,Enclosure and assembly stock: Enclosure freestanding feet,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
ORDER-LINE-090,Nylon spacer tube;M4 clearance bore;trim to3.2mm,4,each,Enclosure and assembly stock: Carrier floor feet,No exact compatible DigiKey SKU established; procure to frozen mechanical stock specification.,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md
